Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | FF, 00 | 80, 
Data: 06 | FF, 
Data: 21 | FF, 00 | FF, 3F | FF, F0 | FF, 00 | FF, 
Data: 70 | FF, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 00, 
Data: 70 | 00, 00 | 80, 
